亥;い, ガイ, カイ;sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac
亦;また, エキ, ヤク;also, again
伎;わざ, わざおぎ, ギ, キ;deed, skill
伶;わざおぎ, レイ, リョウ;actor
侃;つよ.い, カン;strong, just, righteous, peace-loving
侑;すす.める, たす.ける, ユウ, ウ;urge to eat
倖;しあわ.せ, さいわ.い, コウ;happiness, luck
冶;い.る, ヤ;melting, smelting
凜;きびし.い, リン;cold, strict, severe
凪;なぎ, な.ぐ;lull, calm, (kokuji)
勁;つよ.い, ケイ;strong
勺;シャク;ladle, one tenth of a go, dip
匁;もんめ, め;monme, 3.75 grams, (kokuji)
叡;あき.らか, エイ;intelligence, imperial
吏;リ;officer, an official
哉;かな, や, サイ;how, what, alas, question mark, ?
塑;でく, ソ;model, molding
墾;コン;ground-breaking, open up farmland
奎;ケイ, キ;star, god of literature
宥;なだ.める, ゆる.す, ユウ;soothe, calm, pacify
崚;リョウ;towering in a row
嵩;かさ, かさ.む, たか.い, スウ, シュウ;be aggravated, grow worse, grow bulky, swell
弐;ふた.つ, そえ, ニ, ジ;II, two, second
恕;ゆる.す, ジョ, ショ;excuse, tolerate, forgive
捷;はや.い, ショウ, ソウ;victory, fast
捺;さ.す, お.す, ナツ, ダツ;press, print, affix a seal, stamp
斤;キン;axe, 1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)
旦;あき.らか, あきら, ただし, あさ, あした, タン, ダン;daybreak, dawn, morning
昂;あ.がる, たか.い, たか.ぶる, コウ, ゴウ;rise
昴;すばる, コウ, ボウ;the Pleiades
晏;おそ.い, アン;late, quiet, sets (sun)
晟;あきらか, セイ, ジョウ;clear
晨;あした, とき, あさ, シン;morning, early
朕;チン;majestic plural, imperial we
柊;ひいらぎ, シュ, シュウ;holly
柾;まさ, まさめ, まさき;straight grain, spindle tree, (kokuji)
栞;しおり, カン;bookmark, guidebook
梢;こずえ, くすのき, ショウ;treetops, twig
梧;あおぎり, ゴ;Chinese parasol tree, phoenix tree
椋;むく, リョウ;type of deciduous tree, grey starling
椰;やし, ヤ;coconut tree
楓;かえで, フウ;maple
汀;みぎわ, なぎさ, テイ;water's edge, shore, bank
汰;おご.る, にご.る, よな.げる, タ, タイ;luxury, select
洵;の.ぶ, まこと.に, ジュン, シュン;alike, truth
滉;ひろ.い, コウ;deep and broad
澪;みお, レイ;water route, shipping channel
濫;みだ.りに, みだ.りがましい, ラン;excessive, overflow, spread out
熙;たのし.む, ひか.る, ひろ.い, よろこ.ぶ, かわ.く, あきらか, ひろ.める, ひろ.まる, キ;bright, sunny, prosperous, merry
燎;かがりび, リョウ;burn, bonfire
燦;さん.たる, あき.らか, きらめ.く, きら.めく, サン;brilliant
燿;かがや.く, ひかり, ヨウ;shine
爵;シャク;baron, peerage, court rank
爾;なんじ, しかり, その, のみ, おれ, しか, ジ, ニ;you, thou, second person
玖;キュウ, ク;beautiful black jewel, nine
琳;リン;jewel, tinkling of jewelry
瑚;コ, ゴ;ancestral offering receptacle
瑳;みが.く, サ;polish
瑶;たま, ヨウ;beautiful as a jewel
璃;リ;glassy, lapis lazuli
璽;ジ;emperor's seal
痘;トウ;pox, smallpox
眸;ひとみ, ボウ, ム;pupil of the eye
瞭;あきらか, リョウ;clear
碩;おお.きい, セキ;large, great, eminent
竣;わらわ, わらべ, おわ.る, ドウ, シュン;end, finish
笙;ふえ, ショウ, ソウ;a reed instrument
箇;カ, コ;counters for things
紗;うすぎぬ, サ, シャ;gauze, gossamer
紬;つむぎ, つむ.ぐ, チュウ;pongee (a knotted silk cloth)
絃;いと, ゲン;string, cord, samisen music
綸;いと, リン, カン;thread, silk cloth
耗;モウ, コウ, カウ;decrease
耶;か, ヤ, ジャ;question mark
胤;たね, イン;descendent, issue, offspring
脹;は.れる, ふく.らむ, ふく.れる, チョウ;dilate, distend, bulge, fill out, swell
茄;カ;eggplant
茉;マツ, バツ, マ;jasmine
莉;リ, ライ, レイ;jasmine
莞;い, カン;smiling, reed used to cover tatami
菖;ショウ;iris
菫;すみれ, キン;the violet
蓉;ヨウ;lotus
蕗;ふき, ロ, ル;butterbur, bog rhubarb
虞;おそれ, おもんぱか.る, はか.る, うれ.える, あざむ.く, あやま.る, のぞ.む, たの.しむ, グ;expectation, consideration, uneasiness, fear, anxiety, concern
衿;えり, キン, コン;neck, collar, lapel
袈;ケ, カ;a coarse camlet
裟;サ, シャ;Buddhist surplice
詢;はか.る, まこと, ジュン, シュン;consult with
誼;よしみ, よい, ギ;friendship, intimacy
諄;ひちくど.い, くど.い, くどくど, ねんご.ろ, シュン;tedious
諒;あきら.か, まことに, リョウ;fact, reality, understand, appreciate
謁;エツ;audience, audience (with king)
賦;フ, ブ;levy, ode, prose, poem, tribute, installment
迪;みち, みちび.く, すす.む, いた.る, テキ;edify, way, path
遵;ジュン;abide by, follow, obey, learn
醇;もっぱら, こい, あつい, ジュン, シュン;pure sake', purity, affection
采;と.る, いろどり, サイ;dice, form, appearance, take, coloring
銑;セン;pig iron
錘;つむ, おもり, スイ;weight, plumb bob, sinker
鞠;まり, キク, キュウ;ball
頌;かたち, たた.える, ほめ.る, ショウ, ジュ, ヨウ;eulogy
颯;さっ.と, サツ, ソウ;suddenly, smoothly
麟;リン;Chinese unicorn, genius, giraffe, bright, shining
麿;まろ;I, you, (kokuji)
